RIBS_ID,Station_Na,M_BASIN_ID,Nutrient_EcoR,LOCATION,RIVMILLE,BASIN_LOC_RIV,DESCRIPT,LATITUDE,LONGITUDE,PREVNAME,Distance from joined site (m),Joined to existing site (J) or created new (N),Notes,Notes 2
3031329,Sandy Creek,3,7,SAND,29.3,03-SAND-29.3,500 ft southwest off CR 69,43.891673,-75.810853, ,131.439046,J,Joined to existing bio site,Could trib on Curtis Rd bridge have been sampled
2010023,ALLEGHENY R. IN SALAMANCA,2,7,ALGY,20.3,02-ALGY-20.3,200 m below Main Street bridge,42.15716,-78.71794,ALGY-08A  (pre-2016),182.146156,J,Joined to existing bio site,
10041102,Ausable River,10,7,SABL,2.2,10-SABL-2.2,100 m above Rt. 9 bridge,44.55889,-73.44917, ,0,J,Joined to existing bio site,
14022101,Basher Kill,14,8,BSHR,0.4,14-BSHR-0.4,30 m below Galley Hill Rd. bridge,41.45361,-74.58945,BSHR-01 (pre-2017),56.186833,J,Joined to existing bio site,
14022104,Basher Kill,14,8,BSHR,3.7,14-BSHR-3.7,Port Orange Rd,41.4859,-74.57382,BSHR-00 (pre-2017),186.799099,J,Joined to existing bio site,
13092100,Basic Creek,13,,BASC,0.4,13-BASC-0.4,Co. Rt. 67 bridge,42.35972,-74.05083,,,J,Joined to existing bio site,From group of 32 unconnected sites
11031011,Batten Kill,11,7,BATT,10.2,11-BATT-10.2,200 m above Ray Rd. bridge,43.09833,-73.45695, ,95.072633,J,Joined to existing bio site,
3032209,Bear Creek,3,8,BARA,11.5,03-BARA-11.5,Brown Rd,43.73607,-75.97264,BARA-00 (pre-2016),23.460574,J,Joined to existing bio site,
17025100,Bear Gutter Creek,17,14,KEND,0.6,17-KEND-0.6,5 m below Rte 22,41.11444,-73.72361, ,44.278399,J,Joined to existing bio site,
17024101,Beaver Brook,17,14,BVBR,0.3,17-BVBR-0.3,Frost Mill Rd.; 5-10 m below old road bridge in preserve. Park at Preserve and follow red trail to blue trail,40.878102,-73.565952, ,100.681576,J,Joined to existing bio site,
14032110,Beaver Kill,14,8,BEAV,10,14-BEAV-10.0,300 m above Cooks Brook Rd. bridge,41.94639,-74.97972,BEAV 06 (pre-2014),0.225911,J,Joined to existing bio site,
8011201,Beaver River,8,,BEEV,0.8,08-BEEV-0.8,Van Amber Rd. bridge(CR 33),43.89806,-75.49389,,,J,Joined to existing bio site,From group of 32 unconnected sites
5033201,Bennetts Creek,5,7,BENN,0.5,05-BENN-0.5,40m above Rte 36 bridge,42.26543,-77.59466, ,43.059151,J,Joined to existing bio site,
12023100,Betty Brook,12,8,BETY,0.2,12-BETY-0.2,40 m below CR 43 bridge,42.489,-74.509,BETY-01 (pre-2017),0,J,Joined to existing bio site,
4021601,Bidwells Creek in Piffard,4,7,BIDW,1.5,04-BIDW-1.5,10 m upstream of SR 36/Main St,42.833967,-77.89615, ,0,J,Joined to existing bio site,
6011202,Big Brook,6,7,BVIL,2.2,06-BVIL-2.2,40 m below Rt. 206 bridge,42.2575,-75.44861, ,0.137237,J,Joined to existing bio site,
6031600,Big Choconut Creek,6,7,CHOC,0.5,06-CHOC-0.5,20 m above Front St. bridge,42.08278,-76.06389, ,0.169486,J,Joined to existing bio site,
5033401,Big Creek,5,,BGCK,0.6,05-BGCK-0.6,Seneca St.,42.353,-77.66016,,,J,Joined to existing bio site,From group of 32 unconnected sites
10053205,Big Creek,10,7,BIGC,6.3,10-BIGC-6.3,Townsend Rd bridge,43.3599,-73.4219, ,0,J,Joined to existing bio site,
1041208,Big Sister Creek,1,7,BSIS,8.6,01-BSIS-8.6,Versailles Road bridge,42.62475,-78.9674,BSIS-01A (pre-2017),141.291216,J,Joined to existing bio site,
4022200,Bigelow Creek,4,7,BLOW,0.4,04-BLOW-0.4,Cockram Rd. ; 5m above bridge,43.06632,-78.06949,BLOW-01 prior to 2012; BLOW-02 (pre-2017),8.718932,J,Joined to existing bio site,
4022204,Bigelow CreekÂ ,4,7,BLOW,4.6,04-BLOW-4.6,Griswold Road Culvert,43.03504,-78.1109,BIGE-01 prior to 2012; BLOW-01 (pre-2017),43.724004,J,Joined to existing bio site,
10054100,Bishop Brook,10,7,BISH,0.6,10-BISH-0.6,"rte 149, 50 m below bridge, fields on each side",43.4039,-73.53821, ,65.053043,J,Joined to existing bio site,
4021134,Black Creek,4,7,BLAK,32,04-BLAK-32.0,50 m above Cockram Rd. bridge,43.06578,-78.06517,"BLAK-01 (pre-2012), BLAK 08 (pre-2014)",60.166888,J,Joined to existing bio site,
4021137,Black Creek,4,7,BLAK,34.9,04-BLAK-34.9,Griswold Rd. crossing,43.0341,-78.0754,BLAK 07 (pre-2014),50.228561,J,Joined to existing bio site,
13011301,Black Creek,13,7,BLKH,1.2,13-BLKH-1.2,100m above Rte 9W bridge,41.81805,-73.96445,BLKH-01 (pre-2017),76.283591,J,Joined to existing bio site,
8010090,Black River,8,7,BLCK,88.1,08-BLCK-88.1,30 m above Hawkinsville Rd. bridge,43.49389,-75.27583,BLCK-B (pre-2017),22.735945,J,Joined to existing bio site,
8010107,Black River,8,8,BLCK,105.4,08-BLCK-105.4,5 m below Enos Rd./Bellingertown Rd.,43.41083,-75.09666,BLCK-A (pre-2017),82.609622,J,Joined to existing bio site,
10042401,Black River,10,8,BLAR,1.1,10-BLAR-1.1,CR8,44.23422,-73.51052, ,47.989117,J,Joined to existing bio site,
2012400,Blakesly Hollow,2,8,BLHL,0.5,02-BLHL-0.5,At the Blakes Lee Hollow Road Bridge,42.112,-78.4353,BLHL-01 (pre-2016),44.670817,J,Joined to existing bio site,
17022503,Blind Brook,17,14,BLND,3.4,17-BLND-3.4,150 m above gaging station; at Theodore Fremd St.,40.983283,-73.68625,BLND-04 (pre-2017),85.625403,J,Joined to existing bio site,
10041203,Bouquet River,10,7,BOQT,2.8,10-BOQT-2.8,500 m above Rt. 22 bridge,44.361742,-73.391577,BOQT-07,207.81507,J,Joined to existing bio site,
1053400,Bournes Creek,1,7,BOUR,0.4,01-BOUR-0.4,Rte 5 bridge,42.35706,-79.5515,BOUR-01 (pre-2016),58.389429,J,Joined to existing bio site,
9011102,Brandy Brookin Waddington,9,7,BRND,2.5,09-BRND-2.5,"Franklin Rd, CR 44",44.84972,-75.16417,BRND 01 (pre-2014),0,J,Joined to existing bio site,
17023307,Bronx River,17,14,BRNX,5.6,17-BRNX-5.6,150 m above East Gun Hill Rd. bridge,40.88,-73.86861, ,190.930487,J,Joined to existing bio site,
17023312,Bronx River,17,14,BRNX,12.3,17-BRNX-12.3,bridge above Crestview Station,40.95944,-73.821995, ,16.880591,J,Joined to existing bio site,
1032311,Buffalo Creek,1,7,BUFC,2.2,01-BUFC-2.2,40 m below Rt. 277 bridge @USGS gaging station,42.85474,-78.75507,BUFF-03; BUFC-03 (pre-2016),28.534901,J,Joined to existing bio site,
1031002,BUFFALO R. IN BUFFALO,1,7,BUFF,1.7,01-BUFF-1.7,below Ohio St. bridge,42.86194,-78.86787, ,42.65329,J,Joined to existing bio site,
6012102,Butternut Creek,6,7,BTNT,1.3,06-BTNT-1.3,150 below Flat Iron Rd bridge,42.41945,-75.36139,BTNT -01,178.855639,J,Joined to existing bio site,
7034621,Butternut Creek,7,7,BNUT,20.6,07-BNUT-20.6,50 m above Apulia Rd bridge,42.91161,-76.07083, ,24.577324,J,Joined to existing bio site,
14011301,Callicoon Creek,14,8,CALL,0.2,14-CALL-0.2,10 m below Co. Rt. 133 bridge,41.76444,-75.05556,"CALL 02, CALL 06 (pre-2014)",22.730008,J,Joined to existing bio site,
5013100,Cameron Creek,5,7,STEO_T22,0.2,05-STEO_T22-0.2,At Canisteo River Road / County Rte 119 Bridge,42.199,-77.407,USTE-01 (pre-2017),64.842201,J,Joined to existing bio site,
5033302,Canacadea Creek,5,,CDEA,1.8,05-CDEA-1.8,100 m above Rt. 21 bridge @gaging station,42.33567,-77.68267,,,J,Joined to existing bio site,From group of 32 unconnected sites
1051200,Canadaway Creek,1,7,CWAY,0.2,01-CWAY-0.2,at Rt. 5 bridge,42.47538,-79.36557,CWAY-01; CWAY-02 (pre-2016),11.447487,J,Joined to existing bio site,
1051214,Canadaway Creek,1,7,CWAY,14.5,01-CWAY-14.5,CR 312,42.3672,-79.23686,CWAY-14.5  (pre-2016),20.547595,J,Joined to existing bio site,
7042103,Canandaigua Outlet,7,7,CANA,3.5,07-CANA-3.5,100 m above Alloway Rd. bridge,43.02228,-76.98958,CANA-12 (pre-2017),86.975315,J,Joined to existing bio site,
4041001,Canaseraga Creek,4,7,RAGA,1.4,04-RAGA-1.4,"at Rt. 408 bridge, USGS gage station spillway",42.73598,-77.84184,RAGA 01; RAGA 06 (pre-2014),115.368507,J,Joined to existing bio site,
4041009,Canaseraga Creek in Sonyea,4,7,RAGA,9.3,04-RAGA-9.3,at Pioneer Rd. bridge,42.68074,-77.78449,RAGA 05 (pre-2014),0,J,Joined to existing bio site,
7034701,Canastota Creek,7,7,TOTA,0.8,07-TOTA-0.8,100 m above N. Main St. Rd. bridge,43.08861,-75.755,TOTA-01 (pre-2016),36.661594,J,Joined to existing bio site,
5032110,Canisteo River,5,7,STEO,9.7,05-STEO-9.7,40 m below Newcomb Rd. bridge,42.11616,-77.29913, ,33.299288,J,Joined to existing bio site,
5032134,Canisteo River,5,7,STEO,33.9,05-STEO-33.9,@Depot St bridge,42.2762,-77.60152, ,15.623843,J,Joined to existing bio site,
13012301,Canopus Creek,13,8,CNOP,0.8,13-CNOP-0.8,Sprout Brook Rd,41.31445,-73.92222, ,39.244286,J,Joined to existing bio site,
17012902,Carlls River,17,14,CARL,0.8,17-CARL-0.8,20 m below Park Ave. culvert,40.70194,-73.32861, ,11.495818,J,Joined to existing bio site,
17012307,Carmans River,17,14,CARM,9,17-CARM-9.0,below foot bridge at USGS gaging station,40.83,-72.90694, ,193.487344,J,Joined to existing bio site,
12011901,Caroga Creek,12,7,CARO,0.3,12-CARO-0.3,200 m above Rt. 5 bridge,42.96806,-74.62861,CARO 01 (pre-2015),90.549791,J,Joined to existing bio site,
10043101,Cascade Brook,10,8,CADE,0.1,10-CADE-0.1,30m above Church St,44.2625,-73.79583, ,65.686738,J,Joined to existing bio site,
2022212,Cassadaga Creek,2,7,CASS,12.5,02-CASS-12.5,20 m above Ross Mills Rd. bridge,42.15508,-79.22382,CASS 01(pre-2002); CASS-03 (pre-2016),56.647774,J,Joined to existing bio site,
6022401,Castle Creek,6,7,CSTL,0.9,06-CSTL-0.9,40m above Rt. 11 bridge next to Jehovah's Witnesses Hall,42.16882,-75.89902,CSTL 01 (pre-2014),56.585228,J,Joined to existing bio site,
6032102,Catatonk Creek,6,7,CATA,1.7,06-CATA-1.7,30 m downstream of Glen Mary Drive bridge,42.14167,-76.29472, ,125.218581,J,Joined to existing bio site,
3031602,Catfish Creek,3,7,CATF,1.3,03-CATF-1.3,Co Rte 6 bridge; 5m above,43.49889,-76.31667, ,0.265381,J,Joined to existing bio site,
1042414,Cattaraugus Creek,1,7,CATT_S,12.6,01-CATT_S-12.6,Rte 11 bridge,42.356,-78.83286,CATT-07A (pre-2017),35.016543,J,Joined to existing bio site,
01041302B,Cattaraugus Creek,1,7,CATT,2,01-CATT-2.0,at Rts. 5 & 20 bridge,42.5685,-79.10426,CATT 02; CATT-09 (pre-2017),24.535567,J,Joined to existing bio site,"RIBS site ID was 0, filled from stream name match in chem data table"
12011105,Cayadutta Creek,12,7,CAYA,4.7,12-CAYA-4.7,"40 m above Rt. 334 bridge, 1.9 mi. below STP",42.98667,-74.43027,CAYA-02 (pre-2016),0,J,Joined to existing bio site,
1032204,Cayuga Creek,1,7,YUGA,3.9,01-YUGA-3.9,200 m below Rt. 277 bridge,42.88333,-78.75653,BUFF 02; YUGA 02 (2015),181.594137,J,Joined to existing bio site,
7053504,Cayuga Inlet,7,7,CAYG,1.1,07-CAYG-1.1,200 m below Rte 13,42.41606,-76.52839,CAYG-02 (pre-2016),139.945083,J,Joined to existing bio site,
6031715,Cayuta Creek,6,7,CAYU,15.5,06-CAYU-15.5,"Wyncoop Creek Rd, under bridge.",42.20284,-76.57342,CAYU-00 (pre-2017),50.875739,J,Joined to existing bio site,
2023102,Chadakoin River,2,7,CHAD,2.2,02-CHAD-2.2,At South Dow St. bridge,42.11245,-79.20303,CHAD-04 (pre-2016),73.111665,J,Joined to existing bio site,
2023103,Chadakoin River,2,7,CHAD,1.6,02-CHAD-1.6,5 m below Work St. bridge,42.11792,-79.19603,CHAD-05 (pre-2016),42.049254,J,Joined to existing bio site,
10052204,Champlain Canal,10,7,CHMP,6.3,10-CHMP-6.3,Ryder Road 200 m above bridge,43.48231,-73.42531, ,197.429329,J,Joined to existing bio site,
6011509,Charlotte Creek,6,8,CHAR,9.5,06-CHAR-9.5,Below High Point Rd.,42.46842,-74.88557,CHAR00 (prior 2014),37.707327,J,Joined to existing bio site,
9021102,Chateaugay River,9,7,CGAY,2.7,09-CGAY-2.7,20 m above Sam Cook Rd. bridge,44.96278,-74.1325,CGAY 01 (pre-2014),37.649849,J,Joined to existing bio site,
1051301,Chautauqua Creek,1,7,CHAU,0.4,01-CHAU-0.4,50 m above Rt. 5 bridge,42.33696,-79.60059,CHAU-01 (pre-2017),73.87167,J,Joined to existing bio site,
5010005,Chemung River,5,,CHEM,5.4,05-CHEM-5.4,10 m below Rt. 427  bridge,42.00278,-76.635,,,J,Joined to existing bio site,From group of 32 unconnected sites
6021001,CHENANGO R. IN BINGHAMTON,6,7,NANG,0.7,06-NANG-0.7,"Lockwood St., 0.2 mi. above Rt. 17 bridge",42.10306,-75.915, ,1.110829,J,Joined to existing bio site,
6021088,Chenango River,6,7,NANG_W,0.3,06-NANG_W-0.3,200 m above Hart Rd. bridge,42.884058,-75.638408,NANG-00 (pre-2017),173.873543,J,Joined to existing bio site,
11042302,Chester Creek,11,8,CHST,2.5,11-CHST-2.5,Intersection Route 8 and 9,43.656,-73.801, ,0.281781,J,Joined to existing bio site,
12032103,Cincinnati Creek,12,7,CINC,3.4,12-CINC-3.4,at Park St. bridge,43.27306,-75.18723, ,31.356329,J,Joined to existing bio site,
13102101,Claverack Creek,13,7,CLAV,0.5,13-CLAV-0.5,100 m above Co. Rt. 25 bridge,42.31139,-73.74306,CLAV-02(prior to 2012),95.320195,J,Joined to existing bio site,
1042301,Clear Creek,1,7,CLAR,0.6,01-CLAR-0.6,Rte 438 bridge,42.5429,-79.01499,CATT-08B; CLAR-02; CLAR-08B (pre-2017),13.632033,J,Joined to existing bio site,
1042500,Clear Creek,1,7,CLEA,0.1,01-CLEA-0.1,Rte 39,42.53417,-78.42139,CATT-01A; CLEA-01A (pre-2016),53.382811,J,Joined to existing bio site,
1042503,Clear Creek,1,7,CLEA,3.1,01-CLEA-3.1,Off Route 98 and Sparks Road - Walk downstream from DEC fishing access,42.50608,-78.38956,CLEA-00(pre-2017),189.247423,J,Joined to existing bio site,
2022307,Clear Creek,2,7,CLER,8.6,02-CLER-8.6,"At DEC Fishing Access on CR 66, Thornton Rd",42.25766,-79.15351,CLER-00(pre-2016),1.286066,J,Joined to existing bio site,
12022101,Cobleskill Creek,12,7,COBL,0.6,12-COBL-0.6,60 m above Rt. 30A bridge,42.70722,-74.33833,COBL-01; COBL-07 (pre-2017),0,J,Joined to existing bio site,
13011401,Coeymans Creek,13,7,COEY,0.3,13-COEY-0.3,200 m above Route 144 bridge,42.4775,-73.79444,COEY-07; COEY 10 (pre-2014),48.914197,J,Joined to existing bio site,
5021006,Cohocton River,5,7,COHO,5.9,05-COHO-5.9,"30 m above Co. Rt. 4, Curtis Rd. bridge",42.20678,-77.1642, ,61.250588,J,Joined to existing bio site,
5021038,Cohocton River,5,7,COHO,37.2,05-COHO-37.2,100 m above Larrowe Mills Rd. bridge,42.49526,-77.50322, ,83.253331,J,Joined to existing bio site,
4031401,Cold Creek,4,7,CLCK,0.2,04-CLCK-0.2,30m above Rte 19A bridge,42.4642,-78.1127,CLCK-01 (pre-2017),0,J,Joined to existing bio site,
2021020,Conewango Creek,2,7,WANG,20.9,02-WANG-20.9,50 m below Rt. 62 bridge,42.15544,-79.10223,WANG-01 (pre-2016),48.170742,J,Joined to existing bio site,
7047100,Conklin Gully,7,7,CONK,1,07-CONK-1.0,60 meters upstream of Route 245,42.635,-77.367,CONK-01 (pre-2016),0.324459,J,Joined to existing bio site,
10022201,Corbeau Creek,10,7,CORB,0.8,10-CORB-0.8,10 m below Stetson Rd. bridge,44.93778,-73.42056,CORB 01 (pre-2014),0.437596,J,Joined to existing bio site,
14043100,Coulter Brook in Bovina Center,14,8,COUL,0.1,14-COUL-0.1,Coulter Brook Road Bridge,42.257019,-74.771709, ,52.779685,J,Joined to existing bio site,
5032201,Cowanesque River,5,,COWS,0.6,05-COWS-0.6,30 m above Rte 15,42.00161,-77.12739,,,J,Joined to existing bio site,From group of 32 unconnected sites
13012701,Cromline Creek,13,,CROM,0.6,13-CROM-0.6,Tuthill Rd Bridge,41.43106,-74.20147,,,J,Joined to existing bio site,From group of 32 unconnected sites
1053202,Crooked Brook,1,7,CRKB,2.1,01-CRKB-2.1,130 m north of Beaver Creek Rd,42.46938,-79.3309, ,1.647812,J,Joined to existing bio site,
04031A01,Cryder Creek,4,8,CRYD,2.3,04-CRYD-2.3,20 m downstream of Paynesville Hill Road,42.00763,-77.84185,CRYD 01 (pre-2014),0,J,Joined to existing bio site,"RIBS site ID was 0, filled from stream name match in chem data table"
8011102,Deer River,8,7,DEER,2,08-DEER-2.0,200 m above Rte 26 bridge,43.93028,-75.59111,DEER-02(prior to 2012),90.80812,J,Joined to existing bio site,
9022101,Deer River,9,7,DERR,0.2,09-DERR-0.2,50 m below Depot Rd.bridge,44.92007,-74.72209,DERR-01(prior 2009); DERR 03  (pre-2014),50.41208,J,Joined to existing bio site,
14010047,Delaware River,14,,DELA,45.2,14-DELA-45.2,150 m below Rt. 371 bridge; on PA side,41.705,-75.06694,,,J,Joined to existing bio site,From group of 32 unconnected sites
14010053,Delaware River,14,,DELA,50.4,14-DELA-50.4,Bridge St.,41.7652,-75.06036,,,J,Joined to existing bio site,From group of 32 unconnected sites
14041035,Delaware River - West Branch in Beerston,14,8,WDEL,35.4,14-WDEL-35.4,at Rte 10 bridge,42.12861,-75.16055,DELA F: WDEL 07  (pre-2014),0,J,Joined to existing bio site,
14041059,Delaware River - West Branch in Delhi,14,8,WDEL,56.4,14-WDEL-56.4,above Arbor Hill Rd. (Sherwood Rd.) bridge,42.25972,-74.92861,WDEL 03A  (pre-2014),0,J,Joined to existing bio site,
2011001,Dodge Creek,2,8,DODG,1,02-DODG-1.0,40 m below Temple Rd bridge,42.04287,-78.32907,DODG-00 (pre-2016),49.015277,J,Joined to existing bio site,
11012102,Dwaas Kill,11,7,DWAS,2.8,11-DWAS-2.8,Roberts Lane bridge,42.89972,-73.77306,DWAS 04,0.434571,J,Joined to existing bio site,
10042516,E Br Ausable River,10,8,SABL_E,17.2,10-SABL_E-17.2,150 m above Rt. 73 bridge,44.25583,-73.79512,ESAB-05 (pre-2017),143.022347,J,Joined to existing bio site,
1033101,E Br Cazenovia Creek,1,7,CAZE_E,0.3,01-CAZE_E-0.3,at Jewett Holmwood Rd. bridge,42.75729,-78.64475,BUFF 04C; CAZE-04C (pre-2017),21.921677,J,Joined to existing bio site,
14031057,E Br Delaware River,14,8,EDEL,55.3,14-EDEL-55.3,50 m above Rt. 38 bridge,42.16111,-74.62083,DELA 04C; EDEL 03A (pre-2014),0.298807,J,Joined to existing bio site,
7034103,E Br Fish Creek,7,8,WFSHO_E,2.9,07-WFSHO_E-2.9,At bridge on Main Street,43.302057,-75.618086,WFURC 01(pre 2015-incorrectly named Furnace Ck),27.193688,J,Joined to existing bio site,
14022300,E Br Neversink River,14,8,UNVR_E,0.2,14-UNVR_E-0.2,"60 m below CR 157 bridge, Frost Valley Rd;
(first bridge after turning off CR 19)",41.91821,-74.57311,UNVR NE 11 (pre-2014); UNVR-E0.2 (pre-2017),93.374279,J,Joined to existing bio site,
14012400,E Br Ten Mile River,14,8,TENR_E,1.4,14-TENR_E-1.4,30 m above Brooks Rd. bridge,41.57083,-75.00945,TENR-02 (pre-2017),40.469473,J,Joined to existing bio site,
12022501,East Kill,12,8,EAST,0.1,12-EAST-0.1,5 m below Rte 23A bridge,42.23667,-74.31778, ,0.422657,J,Joined to existing bio site,
1041101,Eighteen Mile Creek,1,7,TEEN,0.4,01-TEEN-0.4,50 m below Rt. 5 bridge,42.71237,-78.96671,TEEN-01 (pre-2015),16.823466,J,Joined to existing bio site,
1022111,Ellicott Creek,1,7,ELLI,10.3,01-ELLI-10.3,80 m below Sheridan Dr. (Rt. 324) bridge,42.9788,-78.764,ELLI 01; ELLI-06 (pre-2016),36.720435,J,Joined to existing bio site,
9043105,Elm Creek,9,7,ELMK,4.3,09-ELMK-4.3,10m below Jefferson St. Bridge,44.47028,-75.23306,ELMK-00 (pre-2014),0.439896,J,Joined to existing bio site,
9021502,English River,9,7,ENGL,2.5,09-ENGL-2.5,20 m above Bush Rd. bridge site,44.97528,-73.66361,ENGL 01(pre-2014),43.510304,J,Joined to existing bio site,
7033102,Fish Creek,7,7,FSHO,2.3,07-FSHO-2.3,"CR 50A, under bridge @campsite boat launch",43.22306,-75.69917, ,0.557535,J,Joined to existing bio site,
11011202,Fish Creek,11,7,FISC,3.8,11-FISC-3.8,25m above Bridge St. bridge,43.08709,-73.592115,FISC-03 (pre-2016),55.929738,J,Joined to existing bio site,
5022301,Fivemile Creek,5,7,FIVM,1.2,05-FIVM-1.2,10 m below Hemlock Rd. bridge,42.38849,-77.35784, ,34.807911,J,Joined to existing bio site,
10051802,Fivemile Creek,10,7,FMIL,2.1,10-FMIL-2.1,10 m above Rt. 49 bridge,43.88111,-73.42278, ,24.473697,J,Joined to existing bio site,
7043304,Flint Creek,7,7,FLNT,3.6,07-FLNT-3.6,50 m above Griffith Rd. bridge,42.94472,-77.08949,FLNT-01; FLNT-07 (pre-2016),31.34158,J,Joined to existing bio site,
3011601,Fourmile Creek,3,7,FOMI,0.8,03-FOMI-0.8,40 m above Rte 18 bridge @4-mi Ck park,43.26778,-79.00386,FOMI-01 (pre-2017),0,J,Joined to existing bio site,
12011001,Fulmer Creek,12,7,FULM,0.4,12-FULM-0.4,30 m above West Main St. bridge,43.00972,-75.01167,FULM-02  (pre-2016),66.056857,J,Joined to existing bio site,
7043203,Ganargua Creek,7,7,GNAR,22.2,07-GNAR-22.2,200 m above Erie St. bridge,43.06697,-77.30054,CCAN 02; GNAR-04 (pre-2016),167.873875,J,Joined to existing bio site,
4010003,GENESEE R. IN ROCHESTER,4,7,GENS,2.6,04-GENS-2.6,Genesee Docks at Boxart St.,43.22722,-77.61639,GENS 07 (pre-2014),0,J,Joined to existing bio site,
4030133,Genesee River,4,7,UGNS,132,04-UGNS-132.0,50 m above Knight Creek Rd bridge,42.17073,-77.98469,GENS B; UGNS 05  (pre-2014),11.789486,J,Joined to existing bio site,
04031H00,Genesee Valley Canal in Belfast,4,7,CRAW,0.4,04-CRAW-0.4,70 m off SR 19,42.36873,-78.13921,Genesee Valley Canal,0,J,Joined to existing bio site,"RIBS site ID was 0, filled from stream name match in chem data table"
13012604,Gidneytown Creek,13,11,GIDN,4.9,13-GIDN-4.9,150 upstream of County Rte 87,41.553012,-74.043207,GIDN 01 (pre-2014),124.241518,J,Joined to existing bio site,
3011502,Golden Hill Creek,3,7,GHIL,1.5,03-GHIL-1.5,60 m downstream of Lower Lake Rd,43.36561,-78.49772,GHIL-01B (pre-2016),0,J,Joined to existing bio site,
2025100,Goose Creek,2,7,GOOS,2.9,02-GOOS-2.9,Rte 474,42.09439,-79.37354,GOOS-01 (pre-2017),0.250351,J,Joined to existing bio site,
7044100,Great Brook,7,7,GRBR,0.3,07-GRBR-0.3,"Plaster Mill Road, 400m above mo.....",42.97937,-77.3915,GRBR-02 (pre-2017),7.781005,J,Joined to existing bio site,
10021028,Great Chazy River,10,7,GCHZ,27.4,10-GCHZ-27.4,Joe Wood Rd. (CR 15) across from Town Line Rd.,44.91285,-73.639503, ,29.624171,J,Joined to existing bio site,
10021030,Great Chazy River,10,7,GCHZ,29.4,10-GCHZ-29.4,Miner Farm Rd; CR 23,44.88889,-73.64528,GCHZ-01 (2009); GCHZ 02 (pre-2014),0,J,Joined to existing bio site,
2011301,Great Valley Creek,2,7,GVAL,0.8,02-GVAL-0.8,20m below Rte 417 bridge,42.15886,-78.68338,GVAL-02 (pre-2016),34.332038,J,Joined to existing bio site,
17012A01,Green Creek,17,14,GREN,0.4,17-GREN-0.4,Brook St @bridge,40.73639,-73.09167, ,23.937883,J,Joined to existing bio site,"RIBS site ID was 0, filled from stream name match in chem data table"
16011112,Green River,16,8,GREE,2.5,16-GREE-2.5,10m below Rte 71 bridge,42.26139,-73.47056, ,44.69218,J,Joined to existing bio site,
15012105,Hackensack River,15,,HACK,2.8,15-HACK-2.8,10m above CR 15 bridge (Western Hwy),41.08611,-73.96278,,,J,Joined to existing bio site,From group of 32 unconnected sites
14011400,Halfway Brook,14,8,HAFY,0.2,14-HAFY-0.2,50 m above Rt. 97 bridge,41.4775,-74.91,HAFY-01 (pre-2017),9.459653,J,Joined to existing bio site,
4021310,Honeoye Creek,4,7,HONY,9.6,04-HONY-9.6,15 m below Plains Rd. bridge,42.98363,-77.60016,HONY-10 (pre-2014),34.354223,J,Joined to existing bio site,Duplicate RIBS sites. Both associated with 04-HONY-9.6
